CustomerID,Recency,Frequency,Monetary,CLV,R_Score,F_Score,M_Score,RFM_Segment,KMeans_Cluster,KMeans_Name
12098,16,12,106.98,481.41,3,3,2,Loyal Customers,0,Potential Loyalists
12105,35,19,176.98,364.07,2,4,3,At Risk,2,Lost Customers
12114,28,9,174.31,448.23,2,1,3,Lost Customers,2,Lost Customers
12115,10,9,96.35,693.72,4,1,1,Potential Loyalists,0,Potential Loyalists
12116,9,14,246.31,1970.48,4,3,4,Loyal Customers,0,Potential Loyalists
12117,8,14,326.82,2941.38,4,3,4,Loyal Customers,0,Potential Loyalists
12119,76,13,141.7,134.24,1,3,2,Lost Customers,2,Lost Customers
12123,45,8,115.64,185.02,2,1,2,Lost Customers,1,Lost Customers
12125,2,28,313.49,11285.64,5,5,4,Champions,3,Champions
12126,8,12,207.37,1866.33,4,3,3,Loyal Customers,0,Potential Loyalists
12127,6,11,67.95,815.4,5,2,1,Potential Loyalists,0,Potential Loyalists
12128,24,8,170.3,510.9,3,1,3,Lost Customers,2,Lost Customers
12129,11,9,69.53,455.11,4,1,1,Potential Loyalists,0,Potential Loyalists
12130,14,25,462.39,2378.01,4,5,5,Champions,3,Champions
12133,14,19,308.13,1584.67,4,4,4,Champions,3,Champions
12137,39,20,461.9,852.74,2,4,5,At Risk,2,Lost Customers
12138,30,17,231.59,555.82,2,4,4,At Risk,2,Lost Customers
12140,2,12,335.95,12094.2,5,3,4,Loyal Customers,0,Potential Loyalists
12141,4,16,195.42,3517.56,5,4,3,Loyal Customers,0,Potential Loyalists
12143,137,10,178.39,93.75,1,2,3,Lost Customers,2,Lost Customers
12145,11,22,646.03,4228.56,4,5,5,Champions,3,Champions
12146,60,16,280.41,336.49,1,4,4,At Risk,2,Lost Customers
12147,73,6,52.67,51.95,1,1,1,Lost Customers,1,Lost Customers
12148,12,30,446.28,2677.68,4,5,5,Champions,3,Champions
12153,138,10,150.18,78.35,1,2,2,Lost Customers,1,Lost Customers
12154,12,11,198.19,1189.14,4,2,3,Potential Loyalists,0,Potential Loyalists
12155,19,8,73.84,279.81,3,1,1,Lost Customers,1,Lost Customers
12158,18,11,419.08,1676.32,3,2,5,Big Spenders,2,Lost Customers
12159,24,11,157.81,473.43,3,2,3,Lost Customers,2,Lost Customers
12160,6,15,210.32,2523.84,5,4,3,Loyal Customers,0,Potential Loyalists
12161,22,33,353.13,1155.7,3,5,5,Loyal Customers,3,Champions
12162,24,10,160.31,480.93,3,2,3,Lost Customers,2,Lost Customers
12163,34,6,71.7,151.84,2,1,1,Lost Customers,1,Lost Customers
12164,1,21,356.22,25647.84,5,4,5,Champions,3,Champions
12165,13,10,86.13,477.03,4,2,1,Potential Loyalists,0,Potential Loyalists
12171,37,8,167.6,326.14,2,1,3,Lost Customers,1,Lost Customers
12173,15,13,183.78,882.14,3,3,3,Loyal Customers,2,Lost Customers
12182,15,26,408.97,1963.06,3,5,5,Loyal Customers,3,Champions
12186,13,14,280.72,1554.76,4,3,4,Loyal Customers,2,Lost Customers
12187,47,6,113.35,173.64,2,1,2,Lost Customers,1,Lost Customers
12189,4,23,292.09,5257.62,5,5,4,Champions,3,Champions
12190,54,13,193.73,258.31,1,3,3,At Risk,2,Lost Customers
12193,5,11,144.79,2084.98,5,2,2,Potential Loyalists,0,Potential Loyalists
12197,19,24,269.05,1019.56,3,5,4,Loyal Customers,3,Champions
12200,4,21,325.42,5857.56,5,4,4,Champions,3,Champions
12201,22,15,202.66,663.25,3,4,3,Loyal Customers,2,Lost Customers
12202,78,1,5.7,5.26,1,1,1,Lost Customers,1,Lost Customers
12204,13,9,59.5,329.54,4,1,1,Potential Loyalists,1,Lost Customers
12206,58,6,84.55,104.96,1,1,1,Lost Customers,1,Lost Customers
12207,20,17,355.11,1278.4,3,4,5,Loyal Customers,2,Lost Customers
12213,62,11,223.23,259.23,1,2,3,Lost Customers,2,Lost Customers
12215,10,13,391.27,2817.14,4,3,5,Loyal Customers,2,Lost Customers
12223,13,12,127.43,705.77,4,3,2,Loyal Customers,0,Potential Loyalists
12224,30,10,201.71,484.1,2,2,3,Lost Customers,2,Lost Customers
12225,24,9,139.18,417.54,3,1,2,Lost Customers,1,Lost Customers
12226,9,42,577.51,4620.08,4,5,5,Champions,3,Champions
12232,34,19,350.51,742.26,2,4,5,At Risk,2,Lost Customers
12234,27,12,239.38,638.35,2,3,4,At Risk,2,Lost Customers
12235,14,23,438.19,2253.55,4,5,5,Champions,3,Champions
12236,49,23,284.65,418.26,1,5,4,At Risk,2,Lost Customers
12237,58,14,198.49,246.4,1,3,3,At Risk,2,Lost Customers
12241,4,31,429.64,7733.52,5,5,5,Champions,3,Champions
12242,49,9,288.63,424.11,1,1,4,Lost Customers,2,Lost Customers
12243,12,12,161.51,969.06,4,3,3,Loyal Customers,0,Potential Loyalists
12244,145,9,92.13,45.75,1,1,1,Lost Customers,1,Lost Customers
12246,26,15,255.15,706.57,2,4,4,At Risk,2,Lost Customers
12249,101,10,167.04,119.08,1,2,3,Lost Customers,2,Lost Customers
12250,18,19,243.35,973.4,3,4,4,Loyal Customers,2,Lost Customers
12253,56,11,180.29,231.8,1,2,3,Lost Customers,2,Lost Customers
12255,79,7,43.48,39.63,1,1,1,Lost Customers,1,Lost Customers
12256,3,12,220.89,5301.36,5,3,3,Loyal Customers,0,Potential Loyalists
12258,85,10,595.77,504.65,1,2,5,Lost Customers,2,Lost Customers
12260,18,12,139.9,559.6,3,3,2,Loyal Customers,2,Lost Customers
12261,12,14,149.61,897.66,4,3,2,Loyal Customers,0,Potential Loyalists
12262,35,10,248.48,511.16,2,2,4,Lost Customers,2,Lost Customers
12264,1,15,186.88,13455.36,5,4,3,Loyal Customers,0,Potential Loyalists
12266,58,7,92.39,114.69,1,1,1,Lost Customers,1,Lost Customers
12269,11,16,176.53,1155.47,4,4,3,Loyal Customers,0,Potential Loyalists
12271,13,12,191.91,1062.89,4,3,3,Loyal Customers,0,Potential Loyalists
12273,12,16,375.7,2254.2,4,4,5,Champions,3,Champions
12275,7,9,85.83,882.82,5,1,1,Potential Loyalists,0,Potential Loyalists
12276,31,15,188.14,436.97,2,4,3,At Risk,2,Lost Customers
12277,13,11,319.86,1771.53,4,2,4,Potential Loyalists,2,Lost Customers
12280,26,24,412.6,1142.58,2,5,5,At Risk,3,Champions
12281,6,10,95.23,1142.76,5,2,1,Potential Loyalists,0,Potential Loyalists
12282,1,25,381.46,27465.12,5,5,5,Champions,3,Champions
12284,14,12,101.75,523.29,4,3,1,Loyal Customers,0,Potential Loyalists
12285,8,34,447.98,4031.82,4,5,5,Champions,3,Champions
12294,9,12,107.96,863.68,4,3,2,Loyal Customers,0,Potential Loyalists
12299,19,9,462.69,1753.35,3,1,5,Big Spenders,2,Lost Customers
12301,52,24,238.02,329.57,1,5,4,At Risk,2,Lost Customers
12302,15,24,337.97,1622.26,3,5,5,Loyal Customers,3,Champions
12306,8,15,173.76,1563.84,4,4,3,Loyal Customers,0,Potential Loyalists
12310,50,10,179.51,258.49,1,2,3,Lost Customers,2,Lost Customers
12311,2,14,197.88,7123.68,5,3,3,Loyal Customers,0,Potential Loyalists
12313,13,10,59.79,331.14,4,2,1,Potential Loyalists,1,Lost Customers
12316,3,11,152.79,3666.96,5,2,2,Potential Loyalists,0,Potential Loyalists
12317,14,16,364.51,1874.62,4,4,5,Champions,3,Champions
12320,36,8,65.17,130.34,2,1,1,Lost Customers,1,Lost Customers
12327,18,12,162.2,648.8,3,3,3,Loyal Customers,2,Lost Customers
12329,14,10,102.04,524.78,4,2,1,Potential Loyalists,0,Potential Loyalists
12331,21,11,176.46,605.01,3,2,3,Lost Customers,2,Lost Customers
12335,20,13,134.28,483.41,3,3,2,Loyal Customers,2,Lost Customers
12337,2,12,88.52,3186.72,5,3,1,Loyal Customers,0,Potential Loyalists
12338,15,9,85.07,408.34,3,1,1,Lost Customers,1,Lost Customers
12340,8,32,551.77,4965.93,4,5,5,Champions,3,Champions
12341,11,38,618.57,4048.82,4,5,5,Champions,3,Champions
12342,27,6,29.07,77.52,2,1,1,Lost Customers,1,Lost Customers
12343,20,13,105.96,381.46,3,3,2,Loyal Customers,2,Lost Customers
12345,14,13,263.9,1357.2,4,3,4,Loyal Customers,2,Lost Customers
12352,8,13,96.34,867.06,4,3,1,Loyal Customers,0,Potential Loyalists
12355,5,13,211.6,3047.04,5,3,3,Loyal Customers,0,Potential Loyalists
12357,5,30,253.6,3651.84,5,5,4,Champions,3,Champions
12358,8,14,115.83,1042.47,4,3,2,Loyal Customers,0,Potential Loyalists
12359,10,18,251.26,1809.07,4,4,4,Champions,3,Champions
12361,89,8,198.31,160.43,1,1,3,Lost Customers,2,Lost Customers
12362,30,17,276.5,663.6,2,4,4,At Risk,2,Lost Customers
12363,12,14,178.91,1073.46,4,3,3,Loyal Customers,0,Potential Loyalists
12364,4,30,375.41,6757.38,5,5,5,Champions,3,Champions
12365,14,12,510.01,2622.91,4,3,5,Loyal Customers,2,Lost Customers
12369,3,16,171.61,4118.64,5,4,3,Loyal Customers,0,Potential Loyalists
12370,3,6,31.8,763.2,5,1,1,Potential Loyalists,0,Potential Loyalists
12372,20,9,290.99,1047.56,3,1,4,Big Spenders,2,Lost Customers
12374,4,19,280.35,5046.3,5,4,4,Champions,3,Champions
12375,14,18,183.14,941.86,4,4,3,Loyal Customers,2,Lost Customers
12377,6,10,135.31,1623.72,5,2,2,Potential Loyalists,0,Potential Loyalists
12379,7,13,164.99,1697.04,5,3,3,Loyal Customers,0,Potential Loyalists
12382,21,6,46.5,159.43,3,1,1,Lost Customers,1,Lost Customers
12384,10,13,104.63,753.34,4,3,2,Loyal Customers,0,Potential Loyalists
12385,10,11,107.06,770.83,4,2,2,Potential Loyalists,0,Potential Loyalists
12386,13,21,721.69,3997.05,4,4,5,Champions,3,Champions
12388,63,6,97.31,111.21,1,1,1,Lost Customers,1,Lost Customers
12390,141,7,65.81,33.61,1,1,1,Lost Customers,1,Lost Customers
12391,20,11,102.88,370.37,3,2,2,Lost Customers,1,Lost Customers
12392,23,23,253.95,794.97,3,5,4,Loyal Customers,2,Lost Customers
12394,14,15,109.3,562.11,4,4,2,Loyal Customers,0,Potential Loyalists
12395,16,13,127.56,574.02,3,3,2,Loyal Customers,0,Potential Loyalists
12396,14,12,344.4,1771.2,4,3,5,Loyal Customers,2,Lost Customers
12398,93,14,239.77,185.63,1,3,4,At Risk,2,Lost Customers
12399,73,6,89.88,88.65,1,1,1,Lost Customers,1,Lost Customers
12400,47,10,112.57,172.45,2,2,2,Lost Customers,1,Lost Customers
12403,8,7,84.27,758.43,4,1,1,Potential Loyalists,0,Potential Loyalists
12404,2,12,69.1,2487.6,5,3,1,Loyal Customers,0,Potential Loyalists
12405,20,21,535.41,1927.48,3,4,5,Loyal Customers,3,Champions
12406,83,5,84.34,73.16,1,1,1,Lost Customers,1,Lost Customers
12407,50,9,149.5,215.28,1,1,2,Lost Customers,1,Lost Customers
12409,85,12,159.24,134.89,1,3,3,At Risk,2,Lost Customers
12412,10,10,139.13,1001.74,4,2,2,Potential Loyalists,0,Potential Loyalists
12413,23,8,76.03,238.01,3,1,1,Lost Customers,1,Lost Customers
12417,38,29,318.17,602.85,2,5,4,At Risk,3,Champions
12419,4,30,275.73,4963.14,5,5,4,Champions,3,Champions
12423,89,9,250.2,202.41,1,1,4,Lost Customers,2,Lost Customers
12424,1,24,243.39,17524.08,5,5,4,Champions,3,Champions
12427,103,12,141.28,98.76,1,3,2,Lost Customers,2,Lost Customers
12431,28,20,335.25,862.07,2,4,4,At Risk,2,Lost Customers
12436,96,7,110.6,82.95,1,1,2,Lost Customers,1,Lost Customers
12440,36,11,267.45,534.9,2,2,4,Lost Customers,2,Lost Customers
12441,1,28,306.99,22103.28,5,5,4,Champions,3,Champions
12442,39,14,188.99,348.9,2,3,3,At Risk,2,Lost Customers
12444,38,15,262.72,497.79,2,4,4,At Risk,2,Lost Customers
12448,61,9,118.35,139.69,1,1,2,Lost Customers,1,Lost Customers
12454,12,20,199.96,1199.76,4,4,3,Loyal Customers,3,Champions
12455,18,10,242.62,970.48,3,2,4,Big Spenders,2,Lost Customers
12456,9,12,99.35,794.8,4,3,1,Loyal Customers,0,Potential Loyalists
12458,7,13,243.66,2506.22,5,3,4,Loyal Customers,0,Potential Loyalists
12459,5,9,323.06,4652.06,5,1,4,Potential Loyalists,0,Potential Loyalists
12460,20,16,127.11,457.6,3,4,2,Loyal Customers,2,Lost Customers
12464,124,6,245.09,142.31,1,1,4,Lost Customers,1,Lost Customers
12466,105,9,140.06,96.04,1,1,2,Lost Customers,1,Lost Customers
12467,24,8,47.33,141.99,3,1,1,Lost Customers,1,Lost Customers
12470,2,33,302.19,10878.84,5,5,4,Champions,3,Champions
12474,70,17,202.35,208.13,1,4,3,At Risk,2,Lost Customers
12475,5,30,509.84,7341.7,5,5,5,Champions,3,Champions
12477,50,12,234.91,338.27,1,3,4,At Risk,2,Lost Customers
12481,59,10,128.12,156.35,1,2,2,Lost Customers,1,Lost Customers
12482,5,8,88.98,1281.31,5,1,1,Potential Loyalists,0,Potential Loyalists
12484,48,11,149.27,223.91,1,2,2,Lost Customers,2,Lost Customers
12488,27,40,675.85,1802.27,2,5,5,At Risk,3,Champions
12492,8,28,282.25,2540.25,4,5,4,Champions,3,Champions
12499,43,19,228.44,382.5,2,4,4,At Risk,2,Lost Customers
12502,12,10,224.07,1344.42,4,2,3,Potential Loyalists,0,Potential Loyalists
12504,11,9,59.07,386.64,4,1,1,Potential Loyalists,1,Lost Customers
12510,33,25,301.87,658.63,2,5,4,At Risk,2,Lost Customers
12512,10,16,177.23,1276.06,4,4,3,Loyal Customers,0,Potential Loyalists
12513,39,8,84.73,156.42,2,1,1,Lost Customers,1,Lost Customers
12514,19,25,465.97,1765.78,3,5,5,Loyal Customers,3,Champions
12515,87,7,52.69,43.61,1,1,1,Lost Customers,1,Lost Customers
12519,76,13,156.8,148.55,1,3,3,At Risk,2,Lost Customers
12520,44,14,134.78,220.55,2,3,2,Lost Customers,2,Lost Customers
12521,9,8,161.02,1288.16,4,1,3,Potential Loyalists,0,Potential Loyalists
12522,6,23,268.15,3217.8,5,5,4,Champions,3,Champions
12523,5,13,107.2,1543.68,5,3,2,Loyal Customers,0,Potential Loyalists
12524,2,7,85.58,3080.88,5,1,1,Potential Loyalists,0,Potential Loyalists
12525,81,16,227.52,202.24,1,4,3,At Risk,2,Lost Customers
12526,32,24,335.14,754.06,2,5,4,At Risk,3,Champions
12529,14,13,109.36,562.42,4,3,2,Loyal Customers,0,Potential Loyalists
12536,13,21,501.82,2779.31,4,4,5,Champions,3,Champions
12537,66,10,195.82,213.62,1,2,3,Lost Customers,2,Lost Customers
12539,23,19,187.88,588.15,3,4,3,Loyal Customers,2,Lost Customers
12541,9,23,423.3,3386.4,4,5,5,Champions,3,Champions
12542,3,7,84.06,2017.44,5,1,1,Potential Loyalists,0,Potential Loyalists
12545,1,21,517.45,37256.4,5,4,5,Champions,3,Champions
12546,54,7,73.27,97.69,1,1,1,Lost Customers,1,Lost Customers
12552,73,8,65.25,64.36,1,1,1,Lost Customers,1,Lost Customers
12556,76,6,93.42,88.5,1,1,1,Lost Customers,1,Lost Customers
12557,113,6,138.19,88.05,1,1,2,Lost Customers,1,Lost Customers
12559,15,9,83.17,399.22,3,1,1,Lost Customers,1,Lost Customers
12560,40,9,241.38,434.48,2,1,4,Lost Customers,2,Lost Customers
12562,98,14,200.28,147.14,1,3,3,At Risk,2,Lost Customers
12563,38,12,247.76,469.44,2,3,4,At Risk,2,Lost Customers
12569,27,15,282.94,754.51,2,4,4,At Risk,2,Lost Customers
12571,15,23,314.46,1509.41,3,5,4,Loyal Customers,3,Champions
12572,2,14,172.94,6225.84,5,3,3,Loyal Customers,0,Potential Loyalists
12574,3,50,598.03,14352.72,5,5,5,Champions,3,Champions
12575,4,24,271.3,4883.4,5,5,4,Champions,3,Champions
12578,4,7,155.31,2795.58,5,1,2,Potential Loyalists,0,Potential Loyalists
12580,20,16,435.21,1566.76,3,4,5,Loyal Customers,2,Lost Customers
12581,55,13,87.54,114.6,1,3,1,Lost Customers,1,Lost Customers
12583,23,10,89.81,281.14,3,2,1,Lost Customers,1,Lost Customers
12587,4,14,141.52,2547.36,5,3,2,Loyal Customers,0,Potential Loyalists
12588,48,7,178.91,268.36,1,1,3,Lost Customers,1,Lost Customers
12590,32,11,91.59,206.08,2,2,1,Lost Customers,1,Lost Customers
12591,23,10,269.41,843.37,3,2,4,Big Spenders,2,Lost Customers
12593,5,55,789.38,11367.07,5,5,5,Champions,3,Champions
12595,27,21,248.06,661.49,2,4,4,At Risk,2,Lost Customers
12597,2,16,190.29,6850.44,5,4,3,Loyal Customers,0,Potential Loyalists
12600,19,23,474.93,1799.73,3,5,5,Loyal Customers,3,Champions
12603,21,10,230.91,791.69,3,2,4,Big Spenders,2,Lost Customers
12606,47,18,184.74,283.01,2,4,3,At Risk,2,Lost Customers
12608,22,22,251.6,823.42,3,5,4,Loyal Customers,2,Lost Customers
12609,46,5,95.31,149.18,2,1,1,Lost Customers,1,Lost Customers
12610,111,12,265.51,172.22,1,3,4,At Risk,2,Lost Customers
12612,9,16,193.98,1551.84,4,4,3,Loyal Customers,0,Potential Loyalists
12614,1,10,75.67,5448.24,5,2,1,Potential Loyalists,0,Potential Loyalists
12616,21,18,351.5,1205.14,3,4,5,Loyal Customers,2,Lost Customers
12619,10,10,89.35,643.32,4,2,1,Potential Loyalists,0,Potential Loyalists
12623,23,14,134.14,419.92,3,3,2,Loyal Customers,2,Lost Customers
12628,5,16,158.25,2278.8,5,4,3,Loyal Customers,0,Potential Loyalists
12629,49,12,105.06,154.37,1,3,2,Lost Customers,1,Lost Customers
12630,20,6,39.15,140.94,3,1,1,Lost Customers,1,Lost Customers
12631,98,7,221.97,163.08,1,1,3,Lost Customers,1,Lost Customers
12632,3,11,224.67,5392.08,5,2,3,Potential Loyalists,0,Potential Loyalists
12634,43,10,140.34,234.99,2,2,2,Lost Customers,2,Lost Customers
12635,60,8,100.38,120.46,1,1,1,Lost Customers,1,Lost Customers
12638,15,8,282.16,1354.37,3,1,4,Big Spenders,2,Lost Customers
12639,21,7,138.06,473.35,3,1,2,Lost Customers,1,Lost Customers
12645,62,23,389.94,452.83,1,5,5,At Risk,2,Lost Customers
12646,11,26,335.71,2197.37,4,5,4,Champions,3,Champions
12649,23,14,177.9,556.9,3,3,3,Loyal Customers,2,Lost Customers
12651,16,10,110.15,495.68,3,2,2,Lost Customers,0,Potential Loyalists
12656,13,15,242.99,1345.79,4,4,4,Champions,2,Lost Customers
12659,3,32,468.79,11250.96,5,5,5,Champions,3,Champions
12660,15,9,97.09,466.03,3,1,1,Lost Customers,0,Potential Loyalists
12661,12,41,670.07,4020.42,4,5,5,Champions,3,Champions
12663,11,22,493.87,3232.6,4,5,5,Champions,3,Champions
12666,5,17,520.58,7496.35,5,4,5,Champions,3,Champions
12667,3,25,535.64,12855.36,5,5,5,Champions,3,Champions
12669,33,7,217.52,474.59,2,1,3,Lost Customers,2,Lost Customers
12671,10,34,833.73,6002.86,4,5,5,Champions,3,Champions
12673,9,14,173.97,1391.76,4,3,3,Loyal Customers,0,Potential Loyalists
12674,116,7,128.63,79.84,1,1,2,Lost Customers,1,Lost Customers
12675,8,13,245.12,2206.08,4,3,4,Loyal Customers,0,Potential Loyalists
12685,14,26,477.08,2453.55,4,5,5,Champions,3,Champions
12686,43,8,97.9,163.93,2,1,1,Lost Customers,1,Lost Customers
12687,17,10,351.6,1489.13,3,2,5,Big Spenders,2,Lost Customers
12688,2,15,554.04,19945.44,5,4,5,Champions,3,Champions
12689,8,29,660.68,5946.12,4,5,5,Champions,3,Champions
12692,26,8,90.46,250.5,2,1,1,Lost Customers,1,Lost Customers
12695,21,14,259.37,889.27,3,3,4,Loyal Customers,2,Lost Customers
12697,3,14,217.81,5227.44,5,3,3,Loyal Customers,0,Potential Loyalists
12698,25,30,294.92,849.37,3,5,4,Loyal Customers,3,Champions
12699,35,12,159.41,327.93,2,3,3,At Risk,2,Lost Customers
12702,7,13,114.7,1179.77,5,3,2,Loyal Customers,0,Potential Loyalists
12703,4,14,187.5,3375.0,5,3,3,Loyal Customers,0,Potential Loyalists
12704,31,10,193.08,448.44,2,2,3,Lost Customers,2,Lost Customers
12707,49,14,176.62,259.52,1,3,3,At Risk,2,Lost Customers
12709,2,20,265.66,9563.76,5,4,4,Champions,3,Champions
12713,27,35,363.53,969.41,2,5,5,At Risk,3,Champions
12714,22,21,361.41,1182.8,3,4,5,Loyal Customers,3,Champions
12715,23,5,29.97,93.82,3,1,1,Lost Customers,1,Lost Customers
12716,14,8,103.8,533.83,4,1,2,Potential Loyalists,0,Potential Loyalists
12717,11,15,224.21,1467.56,4,4,3,Loyal Customers,0,Potential Loyalists
12719,9,12,278.31,2226.48,4,3,4,Loyal Customers,0,Potential Loyalists
12722,66,13,101.73,110.98,1,3,1,Lost Customers,1,Lost Customers
12723,3,29,637.01,15288.24,5,5,5,Champions,3,Champions
12726,31,12,144.11,334.71,2,3,2,Lost Customers,2,Lost Customers
12727,137,9,227.18,119.39,1,1,3,Lost Customers,2,Lost Customers
12728,6,44,856.06,10272.72,5,5,5,Champions,3,Champions
12729,14,16,229.0,1177.71,4,4,4,Champions,2,Lost Customers
12732,1,10,121.88,8775.36,5,2,2,Potential Loyalists,0,Potential Loyalists
12735,17,10,201.22,852.23,3,2,3,Lost Customers,2,Lost Customers
12738,1,8,62.98,4534.56,5,1,1,Potential Loyalists,0,Potential Loyalists
12739,13,5,47.57,263.46,4,1,1,Potential Loyalists,1,Lost Customers
12740,54,8,97.2,129.6,1,1,1,Lost Customers,1,Lost Customers
12749,55,16,129.49,169.51,1,4,2,Cannot Lose Them,2,Lost Customers
12750,5,17,276.36,3979.58,5,4,4,Champions,3,Champions
12753,12,11,146.66,879.96,4,2,2,Potential Loyalists,0,Potential Loyalists
12754,2,4,23.84,858.24,5,1,1,Potential Loyalists,0,Potential Loyalists
12760,16,10,173.86,782.37,3,2,3,Lost Customers,2,Lost Customers
12762,17,12,98.0,415.06,3,3,1,Loyal Customers,0,Potential Loyalists
12766,28,11,185.25,476.36,2,2,3,Lost Customers,2,Lost Customers
12767,2,10,59.74,2150.64,5,2,1,Potential Loyalists,0,Potential Loyalists
12768,3,14,227.22,5453.28,5,3,3,Loyal Customers,0,Potential Loyalists
12769,3,26,661.81,15883.44,5,5,5,Champions,3,Champions
12770,36,17,141.2,282.4,2,4,2,Cannot Lose Them,2,Lost Customers
12771,41,17,148.64,261.03,2,4,2,Cannot Lose Them,2,Lost Customers
12772,18,9,112.07,448.28,3,1,2,Lost Customers,1,Lost Customers
12774,58,14,221.87,275.42,1,3,3,At Risk,2,Lost Customers
12775,3,52,859.11,20618.64,5,5,5,Champions,3,Champions
12778,10,29,404.8,2914.56,4,5,5,Champions,3,Champions
12780,59,10,259.47,316.64,1,2,4,Lost Customers,2,Lost Customers
12781,36,13,189.28,378.56,2,3,3,At Risk,2,Lost Customers
12784,12,12,157.97,947.82,4,3,3,Loyal Customers,0,Potential Loyalists
12785,3,10,134.17,3220.08,5,2,2,Potential Loyalists,0,Potential Loyalists
12788,6,11,248.78,2985.36,5,2,4,Potential Loyalists,0,Potential Loyalists
12791,43,11,185.96,311.37,2,2,3,Lost Customers,2,Lost Customers
12792,5,17,441.46,6357.02,5,4,5,Champions,3,Champions
12793,82,11,176.15,154.67,1,2,3,Lost Customers,2,Lost Customers
12795,33,10,82.88,180.83,2,2,1,Lost Customers,1,Lost Customers
12796,8,15,169.2,1522.8,4,4,3,Loyal Customers,0,Potential Loyalists
12797,4,11,173.03,3114.54,5,2,3,Potential Loyalists,0,Potential Loyalists
12804,32,24,442.13,994.79,2,5,5,At Risk,3,Champions
12806,20,15,147.67,531.61,3,4,2,Loyal Customers,2,Lost Customers
12813,5,9,423.34,6096.1,5,1,5,Potential Loyalists,0,Potential Loyalists
12814,29,14,113.78,282.49,2,3,2,Lost Customers,2,Lost Customers
12815,38,12,199.91,378.78,2,3,3,At Risk,2,Lost Customers
12817,2,15,138.65,4991.4,5,4,2,Loyal Customers,0,Potential Loyalists
12818,38,12,203.33,385.26,2,3,3,At Risk,2,Lost Customers
12819,49,21,336.21,494.02,1,4,4,At Risk,2,Lost Customers
12821,3,12,110.85,2660.4,5,3,2,Loyal Customers,0,Potential Loyalists
12822,25,4,146.92,423.13,3,1,2,Lost Customers,1,Lost Customers
